UMAP1,UMAP2,label
1.7896363,3.9402564,intergenic
1.1902831,3.0863974,intergenic
2.1003575,2.7984986,intergenic
0.5314448,1.0581527,intergenic
1.4601835,-0.8160924,intergenic
1.5646659,-0.9746449,intergenic
1.589001,-1.0681826,intergenic
1.6105365,-1.0001839,intergenic
1.5648156,-1.0720681,intergenic
1.5504146,-1.1002377,intergenic
1.5560344,-1.069153,intergenic
1.6343255,-1.0447863,intergenic
1.609425,-1.0671139,intergenic
1.625746,-1.0284175,intergenic
1.6236124,-1.0296636,intergenic
1.6354082,-1.0131131,intergenic
1.7052104,-0.8947183,intergenic
1.705538,-0.925236,intergenic
1.5790522,-1.0240206,intergenic
1.4941009,-1.0702906,intergenic
1.5526288,-1.0527427,intergenic
1.5520033,-1.0516737,intergenic
1.621859,-1.0030901,intergenic
1.5378577,-1.0771809,intergenic
1.5872803,-1.0496765,intergenic
1.572148,-1.0703135,intergenic
1.5459309,-1.088718,intergenic
1.5706776,-1.082059,intergenic
1.5537307,-1.0509646,intergenic
1.5491753,-1.0685176,intergenic
1.5893681,-1.0366533,intergenic
1.6566098,-0.9869862,intergenic
2.054115,-0.6916936,intergenic
1.9960499,-0.77500266,intergenic
2.1983018,-0.6278243,intergenic
2.128049,-0.7663298,intergenic
2.3166878,-0.51591325,intergenic
6.5541472,-2.3340325,intron
7.740648,-0.5287873,intergenic
7.2262244,-0.68030995,intergenic
6.9267483,0.2738259,intergenic
6.974165,0.73363096,intergenic
9.225686,2.2598066,intergenic
7.5733447,2.6192589,intergenic
7.192383,2.5725338,intergenic
7.090939,2.7692254,intergenic
7.4131036,3.5088594,intergenic
6.906777,2.9581785,intergenic
7.2132735,2.4455857,intergenic
7.2709975,2.8238084,intergenic
7.48817,5.760409,intergenic
7.53358,5.681895,intergenic
7.100041,5.1124206,intergenic
6.447978,-1.077348,intergenic
6.2539277,-1.6393546,intergenic
6.444951,-2.161758,intergenic
6.5231495,-2.257908,intergenic
6.5171437,-2.293603,intergenic
6.7197356,-2.4458156,intergenic
8.233326,-1.2808641,intergenic
8.4170685,-1.2869043,intergenic
8.385037,-1.1478598,intergenic
8.469593,-1.0324919,intergenic
8.482072,-0.71454567,intergenic
8.864479,-0.04105085,intergenic
9.458031,0.700518,intergenic
11.114356,1.7641102,intergenic
11.228774,1.8348677,intergenic
12.814951,2.5697434,intergenic
12.571566,2.6889782,intergenic
12.204329,2.6127782,intergenic
12.13206,2.5696747,intergenic
8.482234,1.6009866,intergenic
8.414581,0.9020413,intergenic
8.65529,0.38417742,intergenic
8.594864,0.17717479,intergenic
8.765425,0.20498013,intergenic
7.760109,5.8759575,intergenic
9.801174,0.9870488,intergenic
9.86509,1.1086476,intergenic
11.385922,1.9343009,intergenic
11.276866,1.9714631,intergenic
12.696494,2.9414601,intergenic
12.765433,3.081799,intergenic
12.974172,3.1830614,intergenic
13.108968,3.1953716,intergenic
12.660948,3.6444006,intergenic
12.881006,3.4546506,intergenic
13.182585,3.2925615,intergenic
12.947804,3.2813296,intergenic
10.179907,4.8130016,intergenic
10.269316,5.2016997,intergenic
9.483065,4.8004794,intergenic
7.08965,4.349004,intergenic
10.298421,5.218223,intergenic
10.277379,5.1945467,intergenic
7.4229712,4.0642805,intergenic
7.268901,4.1662307,intergenic
7.5209184,3.7202897,intergenic
7.6506906,3.7410963,intergenic
7.325821,4.1539855,intergenic
7.245102,4.223425,intergenic
7.241621,4.2519913,intergenic
7.0138803,4.1453314,intergenic
6.9694705,4.075549,intergenic
7.5374317,4.344128,intergenic
13.333407,3.4578755,intergenic
13.193627,2.9652445,intergenic
11.626713,2.5805862,intergenic
10.154211,1.7144927,intergenic
10.096016,1.7757959,intergenic
10.092333,1.6630411,intergenic
10.287736,1.7594292,intergenic
10.512213,1.9012523,intergenic
10.057443,2.3520248,intergenic
10.091876,2.4765024,intergenic
10.105613,2.7238889,intergenic
11.323928,2.9601789,intergenic
10.583552,2.2953374,intergenic
9.899013,1.69641,intergenic
12.918556,-0.03467149,intergenic
7.365969,-0.26986477,intergenic
8.354069,1.2617867,intergenic
7.7304554,1.4749665,intergenic
7.953616,2.9769235,intergenic
8.009243,4.1699476,intergenic
7.7790027,3.5420976,intergenic
7.732973,3.8236911,intergenic
7.6004853,5.3628693,intergenic
7.8133206,5.0932407,intergenic
7.7862887,5.3855305,intergenic
7.9018826,5.2147737,intergenic
8.523955,4.5383625,intergenic
10.399982,2.4172657,intergenic
7.859927,5.8399787,intergenic
11.531152,1.9477148,intergenic
14.484674,1.6995229,intergenic
14.366329,1.6590899,intergenic
14.180064,1.7884512,intergenic
14.216334,1.7695469,intergenic
13.690723,2.1001956,intergenic
13.0691595,2.0305738,intergenic
9.266746,1.0347924,intergenic
8.321554,-0.17312463,intergenic
8.252068,-0.40579963,intergenic
8.04767,-1.386008,intergenic
6.907087,-2.3052855,intergenic
6.8051915,-2.4339163,intergenic
7.482806,-1.6481767,intergenic
7.488204,-1.6034971,intergenic
7.6024604,-1.4712818,intergenic
7.6450896,-1.3956653,intergenic
6.5428057,-2.0699635,intergenic
6.4510508,-2.105662,intergenic
6.3302064,-1.9888685,intergenic
6.1732545,-1.7414683,intergenic
6.0722547,-1.7475429,intergenic
5.641945,-1.2285924,intergenic
5.6898985,-1.1570758,intergenic
5.714601,-1.2480481,intergenic
5.7729254,-1.2665306,intergenic
5.78393,-1.3523246,intergenic
6.108232,-1.8085024,intergenic
6.3346467,-1.9784671,intergenic
6.4693804,-2.048693,intergenic
7.612485,-1.3343914,intergenic
7.8249044,-1.0901392,intergenic
6.7134137,0.8297805,intergenic
6.4234443,1.3940829,intergenic
6.3527365,1.1954936,intergenic
6.3082976,1.2365212,intergenic
6.863168,0.999109,intergenic
6.846123,0.7459297,intergenic
7.1015882,-0.14698537,intergenic
7.323004,-0.45801976,intergenic
7.4065194,-0.38410375,intergenic
7.5553975,-0.33508956,intergenic
7.823907,0.09092992,intergenic
7.8591533,0.4243694,intergenic
9.517527,1.5017682,intergenic
10.10315,1.9947577,intergenic
11.599436,3.1479838,intergenic
11.557825,3.567406,intergenic
11.365176,2.9250267,intergenic
11.532703,3.4492927,intergenic
11.839579,2.9833455,intergenic
12.44555,2.8885286,intergenic
12.799117,2.8554769,intergenic
12.493784,2.6755264,intergenic
12.298737,2.6828904,intergenic
11.936353,2.2575161,intergenic
12.335731,2.0489256,intergenic
12.187165,2.7927744,intergenic
12.1479225,2.873568,intergenic
10.209058,3.2587845,intergenic
9.854378,3.443927,intergenic
9.645545,2.8833287,intergenic
10.041372,2.327357,intergenic
10.011518,2.1078312,intergenic
9.491117,3.0304108,intergenic
9.302822,4.1166067,intergenic
-1.079829,-4.4837,intron
-1.4746715,-3.8781435,intron
-1.6454122,-3.7976656,intron
-1.9211358,-3.6344466,intron
-1.8762052,-3.622048,intron
